Sigla,Disciplina,Periodo,Aprovado,Media Final,Frequência (%),Qtd.Faltas,Observação
AGO021,Gestão Ágil de Projetos de Software,20232,,,0,Em Curso
ESM100,Estágio Supervisionado em Desenvolvimento de Software Multiplataforma,20232,,,0,Em Curso
IAL010,Algoritmos e Lógica de Programação,20222,Aprovado(a),9.80,85%,12,Aprovado por Nota e Frequência
IBD014,Modelagem de Banco de Dados,20222,Aprovado(a),8.30,85%,12,Aprovado por Nota e Frequência
IBD015,Banco de Dados – Relacional,20231,Aprovado(a),8.40,85%,12,Aprovado por Nota e Frequência
IBD016,Banco de Dados - Não relacional,20232,,,0,Em Curso
IED005,Estrutura de Dados,20231,Aprovado(a),8.20,90%,8,Aprovado por Nota e Frequência
IES011,Engenharia de Software I,20222,Aprovado(a),8.80,92%,6,Aprovado por Nota e Frequência
IES012,Engenharia de Software II,20231,Aprovado(a),9.50,90%,8,Aprovado por Nota e Frequência
IHC004,Interação Humano Computador,20232,,,0,Em Curso
ILP036,Técnicas de Programação I,20231,Aprovado(a),8.60,95%,4,Aprovado por Nota e Frequência
ILP037,Técnicas de Programação II,20232,,,0,Em Curso
ING085,Inglês I,20232,Aprovado(a),9.00,,0,Dispensado por Proficiência
ING086,Inglês II,20232,Aprovado(a),9.00,,0,Dispensado por Proficiência
ING087,Inglês III,20232,Aprovado(a),9.00,,0,Dispensado por Proficiência
ING088,Inglês IV,20232,Aprovado(a),9.00,,0,Dispensado por Proficiência
ISO011,Sistemas Operacionais e Redes de Computadores,20222,Aprovado(a),9.80,100%,0,Aprovado por Nota e Frequência
ISW028,Desenvolvimento Web I,20222,Aprovado(a),6.40,92%,6,Aprovado por Nota e Frequência
ISW029,Desenvolvimento Web II,20231,Aprovado(a),9.70,98%,1,Aprovado por Nota e Frequência
ISW030,Desenvolvimento Web III,20232,,,0,Em Curso
ISW031,Design Digital,20222,Aprovado(a),9.40,85%,12,Aprovado por Nota e Frequência
MAG004,Álgebra Linear,20232,,,0,Em Curso
MAT019,Matemática para Computação,20231,Aprovado(a),9.00,87%,10,Aprovado por Nota e Frequência
